City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Aras,42.5617,-2.356,48.61,37,0,18.41,ES,2023-02-04 11:43:22
67,Bethel,41.3712,-73.414,1.27,55,0,4.61,US,2023-02-04 11:43:31
68,Umm Lajj,25.0213,37.2685,71.17,49,6,15.08,SA,2023-02-04 11:40:41
69,Cedar Rapids,42.0083,-91.6441,15.91,75,0,13.8,US,2023-02-04 11:43:36
70,Kapaa,22.0752,-159.319,73.72,93,100,16.11,US,2023-02-04 11:43:38
71,Fuyang,32.9,115.8167,42.42,58,100,7.09,CN,2023-02-04 11:43:24
72,Thompson,55.7435,-97.8558,-16.44,76,40,3.44,CA,2023-02-04 11:43:42
73,Airai,-8.9266,125.4092,61.05,93,100,3.0,TL,2023-02-04 11:43:42
74,Iqaluit,63.7506,-68.5145,-34.31,65,20,15.01,CA,2023-02-04 11:43:43
75,Altay,47.8667,88.1167,16.48,86,51,6.13,CN,2023-02-04 11:42:55
76,Sinnamary,5.3833,-52.95,77.83,87,67,11.72,GF,2023-02-04 11:43:45
77,Lamar,33.6668,-95.5836,37.63,96,0,5.75,US,2023-02-04 11:43:47
78,Talnakh,69.4865,88.3972,8.65,97,100,4.83,RU,2023-02-04 11:43:48
79,Avera,33.194,-82.5271,33.31,50,0,8.88,US,2023-02-04 11:43:49
80,Turayf,31.6725,38.6637,53.85,40,75,20.71,SA,2023-02-04 11:40:23
81,Narsaq,60.9167,-46.05,7.02,71,43,15.14,GL,2023-02-04 11:43:51
82,Bambous Virieux,-20.3428,57.7575,84.45,70,40,11.5,MU,2023-02-04 11:43:52
83,Rawson,-43.3002,-65.1023,78.17,40,1,4.81,AR,2023-02-04 11:41:15
84,Margate,51.3813,1.3862,50.9,82,98,5.01,GB,2023-02-04 11:43:54
85,Sohag,26.557,31.6948,67.26,20,10,12.48,EG,2023-02-04 11:43:56
86,Husavik,66.0449,-17.3389,25.79,72,1,16.31,IS,2023-02-04 11:43:57
87,Kodiak,57.79,-152.4072,24.31,86,20,4.61,US,2023-02-04 11:43:58
88,Samagaltay,50.6022,95.0047,-3.48,92,89,0.54,RU,2023-02-04 11:43:59
89,Tuktoyaktuk,69.4541,-133.0374,-37.01,100,24,1.88,CA,2023-02-04 11:44:00
90,Bredasdorp,-34.5322,20.0403,86.14,47,13,11.74,ZA,2023-02-04 11:44:01
91,Klaksvik,62.2266,-6.589,41.92,86,100,32.68,FO,2023-02-04 11:44:02
92,Chuy,-33.6971,-53.4616,71.04,74,11,14.14,UY,2023-02-04 11:44:03
93,Shelburne,44.0787,-80.2041,-1.41,82,94,10.07,CA,2023-02-04 11:44:04
94,Bilibino,68.0546,166.4372,-28.53,100,24,5.77,RU,2023-02-04 11:44:06
95,Portland,45.5234,-122.6762,48.72,92,100,10.36,US,2023-02-04 11:44:07
96,Tual,-5.6667,132.75,82.81,78,100,14.74,ID,2023-02-04 11:44:54
97,Bathsheba,13.2167,-59.5167,79.41,78,40,19.57,BB,2023-02-04 11:45:09
98,Kuala Selangor,3.35,101.25,84.4,85,90,5.03,MY,2023-02-04 11:40:16
99,Bandarbeyla,9.4942,50.8122,77.47,60,8,16.46,SO,2023-02-04 11:45:10
100,Pangnirtung,66.1451,-65.7125,-29.47,94,100,1.19,CA,2023-02-04 11:45:11
101,Lompoc,34.6391,-120.4579,52.92,86,0,10.0,US,2023-02-04 11:45:13
102,Kawhia,-38.0651,174.8183,70.5,89,71,4.5,NZ,2023-02-04 11:45:14
103,Srednekolymsk,67.45,153.6833,-17.79,99,100,5.93,RU,2023-02-04 11:45:15
104,Champerico,14.3,-91.9167,74.62,66,5,2.26,GT,2023-02-04 11:45:16
105,Kalabo,-14.97,22.6814,86.61,48,62,3.96,ZM,2023-02-04 11:45:17
106,Port Elizabeth,-33.918,25.5701,88.11,73,0,27.63,ZA,2023-02-04 11:45:17
107,Yellowknife,62.456,-114.3525,-16.08,76,100,8.05,CA,2023-02-04 11:41:44
108,East London,-33.0153,27.9116,81.54,65,0,21.85,ZA,2023-02-04 11:45:24
109,Port Hedland,-20.3167,118.5667,87.85,48,75,17.27,AU,2023-02-04 11:43:14
110,Georgetown,5.4112,100.3354,85.95,74,20,6.91,MY,2023-02-04 11:45:00
111,Broome,42.2506,-75.833,-3.37,76,75,5.75,US,2023-02-04 11:45:29
112,Saint George,37.1041,-113.5841,37.99,76,0,3.44,US,2023-02-04 11:43:27
113,Juneau,58.3019,-134.4197,34.21,94,100,0.0,US,2023-02-04 11:43:34
114,Rodeo,38.033,-122.2669,53.02,91,100,4.0,US,2023-02-04 11:45:33
115,Faanui,-16.4833,-151.75,80.91,75,100,16.82,PF,2023-02-04 11:45:34
116,Severo-Kurilsk,50.6789,156.125,25.81,71,100,11.05,RU,2023-02-04 11:45:35
117,Sakaiminato,35.55,133.2333,40.93,81,75,5.75,JP,2023-02-04 11:43:17
118,Egvekinot,66.3167,-179.1667,-28.01,87,11,12.71,RU,2023-02-04 11:45:40
119,Tuatapere,-46.1333,167.6833,68.34,76,66,4.59,NZ,2023-02-04 11:45:42
120,Atamanovka,51.93,113.63,0.03,98,7,2.44,RU,2023-02-04 11:45:43
121,Buala,-8.145,159.5921,80.06,81,100,1.54,SB,2023-02-04 11:45:44
122,Port Hardy,50.6996,-127.4199,44.78,87,100,25.32,CA,2023-02-04 11:45:45
123,Mandera,3.9366,41.867,98.17,13,21,16.02,KE,2023-02-04 11:45:46
124,Lorengau,-2.0226,147.2712,81.54,72,99,4.99,PG,2023-02-04 11:45:46
125,Pisco,-13.7,-76.2167,69.85,94,100,1.14,PE,2023-02-04 11:41:28
126,Mountain Home,43.133,-115.6912,22.48,93,40,11.5,US,2023-02-04 11:45:48
127,Whitehorse,60.7161,-135.0538,8.02,80,75,3.44,CA,2023-02-04 11:45:50
128,Hobyo,5.3505,48.5268,79.86,58,40,20.76,SO,2023-02-04 11:45:52
129,Norman Wells,65.282,-126.8329,-20.16,69,75,0.0,CA,2023-02-04 11:45:54
130,Ulaangom,49.9811,92.0667,-10.25,97,93,0.92,MN,2023-02-04 11:45:56
131,Rabaul,-4.1967,152.1721,80.69,79,100,6.15,PG,2023-02-04 11:45:56
132,Quimperle,47.8667,-3.55,48.94,71,100,3.44,FR,2023-02-04 11:45:58
133,Yulara,-25.2406,130.9889,76.75,27,0,10.29,AU,2023-02-04 11:45:58
134,Krupina,48.3554,19.0647,34.81,66,29,15.05,SK,2023-02-04 11:45:59
135,Sechelt,49.4664,-123.7694,46.4,93,100,7.58,CA,2023-02-04 11:46:01
136,Carnarvon,-24.8667,113.6333,79.75,74,4,8.37,AU,2023-02-04 11:46:02
137,Clyde River,70.4692,-68.5914,-25.37,62,100,3.44,CA,2023-02-04 11:46:03
138,Hilo,19.7297,-155.09,72.63,90,0,3.44,US,2023-02-04 11:45:17
139,Dingle,10.9995,122.6711,74.93,91,100,8.43,PH,2023-02-04 11:46:04
140,Niquelandia,-14.4739,-48.4597,77.65,77,100,0.92,BR,2023-02-04 11:47:05
141,Bilma,18.6853,12.9164,85.01,10,74,8.99,NE,2023-02-04 11:47:07
142,Kalanguy,51.0167,116.5167,-12.6,100,17,4.72,RU,2023-02-04 11:47:16
143,Jambi,-1.6,103.6167,77.04,90,99,5.3,ID,2023-02-04 11:44:20
144,Mangan,27.5167,88.5333,60.57,78,79,0.74,IN,2023-02-04 11:47:28
145,Honningsvag,70.9821,25.9704,28.15,93,100,20.71,NO,2023-02-04 11:47:33
146,Port Lincoln,-34.7333,135.8667,60.17,77,17,8.16,AU,2023-02-04 11:47:35
147,Zhangye,38.9342,100.4517,30.42,41,71,4.32,CN,2023-02-04 11:42:46
148,Yining,29.0361,114.5636,45.09,94,100,0.96,CN,2023-02-04 11:47:37
149,Dikson,73.5069,80.5464,-7.22,99,100,2.84,RU,2023-02-04 11:47:38
150,Samarai,-10.6167,150.6667,82.02,78,100,5.12,PG,2023-02-04 11:47:39
151,Valdez,1.2492,-78.9831,75.18,89,100,8.19,EC,2023-02-04 11:47:40
152,Meulaboh,4.1363,96.1285,77.68,78,100,1.54,ID,2023-02-04 11:44:48
153,Beloha,-25.1667,45.05,85.26,55,91,16.31,MG,2023-02-04 11:47:42
154,Karratha,-20.7377,116.8463,88.11,57,15,7.05,AU,2023-02-04 11:47:43
155,Nouadhibou,20.931,-17.0347,67.98,22,100,17.27,MR,2023-02-04 11:47:45
156,Atuona,-9.8,-139.0333,78.37,72,1,19.04,PF,2023-02-04 11:47:51
157,Trat,12.5,102.5,78.8,77,81,4.63,TH,2023-02-04 11:44:53
158,Provideniya,64.3833,-173.3,-7.06,87,98,12.15,RU,2023-02-04 11:47:55
159,Comodoro Rivadavia,-45.8667,-67.5,71.46,37,0,4.61,AR,2023-02-04 11:47:58
160,Isangel,-19.55,169.2667,81.37,87,70,8.1,VU,2023-02-04 11:47:59
161,Kruisfontein,-34.0033,24.7314,85.89,43,11,22.24,ZA,2023-02-04 11:48:00
